時間戳記,電燈狀態,溫度,濕度
2025-11-30 15:52:11,False,25.01,60.47
2025-11-30 15:52:14,False,24.15,60.91
2025-11-30 15:52:17,True,26.09,63.15
2025-11-30 15:52:20,True,26.21,60.61
2025-11-30 15:52:23,True,24.62,55.84
2025-11-30 15:52:26,True,24.43,56.08
2025-11-30 15:52:29,True,23.82,60.68
2025-11-30 15:52:32,False,23.59,62.16
2025-11-30 15:52:35,True,23.49,63.59
2025-11-30 15:52:38,False,24.52,64.75
2025-11-30 15:52:41,True,25.26,62.33
2025-11-30 15:52:44,False,23.01,63.42
2025-11-30 15:52:47,True,26.72,61.5
2025-11-30 15:52:50,True,24.96,61.37
2025-11-30 15:52:53,True,24.77,56.08
2025-11-30 15:52:56,False,23.24,56.91
2025-11-30 15:52:59,False,26.47,64.97
2025-11-30 15:53:02,False,24.26,63.89
2025-11-30 15:53:05,False,26.21,63.1
2025-11-30 15:53:08,True,23.47,57.3
2025-11-30 15:53:11,True,24.73,62.13
2025-11-30 15:53:14,False,23.99,58.15
2025-11-30 15:53:17,False,24.77,59.55
2025-11-30 15:53:20,False,26.43,60.47
2025-11-30 15:53:23,True,24.27,63.71
2025-11-30 15:53:26,True,25.68,62.3
2025-11-30 15:53:29,False,25.12,62.53
2025-11-30 15:53:32,True,23.35,57.97
2025-11-30 15:53:35,False,23.61,55.6
2025-11-30 15:53:38,True,24.47,61.68
2025-11-30 15:53:41,False,24.31,60.38
2025-11-30 15:53:44,True,23.92,56.54
2025-11-30 15:53:47,True,23.76,61.78
2025-11-30 15:53:50,True,24.29,64.79
2025-11-30 15:53:53,False,23.7,56.45
2025-11-30 15:53:56,False,26.88,63.53
2025-11-30 15:53:59,True,26.34,60.14
2025-11-30 15:54:02,False,23.02,62.72
2025-11-30 15:54:05,True,24.38,63.08
2025-11-30 15:54:08,True,25.36,63.79
2025-11-30 15:54:11,False,23.83,61.52
2025-11-30 15:54:14,False,24.95,57.44
2025-11-30 15:54:17,False,23.19,59.09
2025-11-30 15:54:20,False,26.32,56.06
2025-11-30 15:54:23,False,26.78,55.71
2025-11-30 15:54:26,False,25.76,57.35
2025-11-30 15:54:29,True,25.37,62.98
2025-11-30 15:54:32,True,23.81,61.0
2025-11-30 15:54:35,False,25.39,55.48
2025-11-30 15:54:38,False,26.08,57.32
2025-11-30 15:54:41,False,25.09,64.8
2025-11-30 15:54:44,False,26.44,58.63
2025-11-30 15:54:47,False,23.89,55.5
2025-11-30 15:54:50,False,26.29,63.95
2025-11-30 15:54:53,True,24.46,56.67
2025-11-30 15:54:56,False,24.75,62.61
2025-11-30 15:54:59,True,26.96,56.68
2025-11-30 15:55:02,True,23.49,57.23
2025-11-30 15:55:05,True,24.55,61.02
2025-11-30 15:55:08,False,23.36,59.05
2025-11-30 15:55:11,False,24.16,58.96
2025-11-30 15:55:14,False,26.07,57.15
2025-11-30 15:55:17,False,26.61,64.5
2025-11-30 15:55:20,True,26.38,55.41
2025-11-30 15:55:23,True,23.84,58.35
2025-11-30 15:55:26,False,23.76,55.56
2025-11-30 15:55:29,True,23.21,56.19
2025-11-30 15:55:32,True,26.33,55.19
2025-11-30 15:55:35,True,24.53,60.14
2025-11-30 15:55:38,True,24.64,62.36
2025-11-30 15:55:41,False,23.28,64.37
2025-11-30 15:55:44,True,25.67,64.78
2025-11-30 15:55:47,True,24.68,61.29
2025-11-30 15:55:50,False,26.89,57.8
2025-11-30 15:55:53,True,24.44,57.34
2025-11-30 15:55:56,False,26.25,56.68
2025-11-30 15:55:59,True,23.33,58.87
2025-11-30 15:56:02,False,23.52,55.46
2025-11-30 15:56:05,False,26.35,58.16
2025-11-30 15:56:08,True,23.44,58.4
2025-11-30 15:56:11,False,24.71,62.41
2025-11-30 15:56:14,False,24.9,58.28
2025-11-30 15:56:17,True,25.88,60.33
2025-11-30 15:56:20,False,23.8,63.6
2025-11-30 15:56:23,True,23.36,55.84
2025-11-30 15:56:26,True,26.69,61.52
2025-11-30 15:56:29,True,26.18,63.35
2025-11-30 15:56:32,True,25.91,60.6
2025-11-30 15:56:35,True,25.21,62.4
2025-11-30 15:56:38,True,23.64,63.96
2025-11-30 15:56:41,False,25.08,61.1
2025-11-30 15:56:44,False,24.12,59.25
2025-11-30 15:56:47,True,24.3,57.25
2025-11-30 15:56:50,False,23.32,60.88
2025-11-30 15:56:53,False,25.72,61.32
2025-11-30 15:56:56,False,26.83,62.26
2025-11-30 15:56:59,False,25.4,60.0
2025-11-30 15:57:02,True,23.88,61.91
2025-11-30 15:57:05,True,25.09,56.42
2025-11-30 15:57:08,False,24.31,56.74
2025-11-30 15:57:11,True,24.41,64.15
2025-11-30 15:57:14,True,26.1,61.02
2025-11-30 15:57:17,False,24.94,55.42
2025-11-30 15:57:20,False,24.73,62.04
2025-11-30 15:57:23,False,23.92,64.0
2025-11-30 15:57:26,False,26.12,57.76
2025-11-30 15:57:29,True,23.35,55.85
2025-11-30 15:57:32,False,25.02,56.44
2025-11-30 15:57:35,True,24.16,59.7
2025-11-30 15:57:38,False,24.47,57.11
2025-11-30 15:57:41,False,24.79,55.72
2025-11-30 15:57:44,True,26.7,63.7
2025-11-30 15:57:47,True,23.36,60.14
2025-11-30 15:57:50,False,23.75,61.95
2025-11-30 15:57:53,True,24.8,61.84
2025-11-30 15:57:56,True,23.7,55.3
2025-11-30 15:57:59,False,24.73,61.36
2025-11-30 15:58:02,False,25.69,64.87
2025-11-30 15:58:05,False,24.92,65.0
2025-11-30 15:58:08,True,23.36,63.55
2025-11-30 15:58:11,True,26.84,58.97
2025-11-30 15:58:14,True,26.33,62.31
2025-11-30 15:58:17,False,25.72,63.84
2025-11-30 15:58:20,True,24.36,60.6
2025-11-30 15:58:23,False,24.07,59.25
2025-11-30 15:58:26,False,25.77,56.21
2025-11-30 15:58:29,True,24.22,61.14
2025-11-30 15:58:32,False,25.69,63.79
2025-11-30 15:58:35,False,26.91,61.83
2025-11-30 15:58:38,True,23.5,56.15
2025-11-30 15:58:41,True,26.14,57.75
2025-11-30 15:58:44,False,26.34,58.46
2025-11-30 15:58:47,False,26.73,64.38
2025-11-30 15:58:50,True,27.0,60.57
2025-11-30 15:58:53,False,23.11,64.52
2025-11-30 15:58:56,False,23.56,58.78
2025-11-30 15:58:59,True,26.47,63.36
2025-11-30 15:59:02,True,23.36,63.28
2025-11-30 15:59:05,True,25.13,61.44
2025-11-30 15:59:08,False,23.76,64.9
2025-11-30 15:59:11,False,26.12,57.93
2025-11-30 15:59:14,False,23.75,58.71
2025-11-30 15:59:17,True,24.63,59.52
2025-11-30 15:59:20,False,25.9,56.14
2025-11-30 15:59:23,True,25.94,59.75
2025-11-30 15:59:26,False,23.53,59.37
2025-11-30 15:59:29,True,26.89,57.01
2025-11-30 15:59:32,False,23.47,57.66
2025-11-30 15:59:35,False,24.71,63.3
2025-11-30 15:59:38,False,24.62,61.55
2025-11-30 15:59:41,False,25.89,62.41
2025-11-30 15:59:44,False,26.13,62.1
2025-11-30 15:59:47,True,26.33,63.28
2025-11-30 15:59:50,False,25.06,64.06
2025-11-30 15:59:53,False,24.79,58.86
2025-11-30 15:59:56,False,26.88,64.74
2025-11-30 15:59:59,True,24.34,57.78
2025-11-30 16:00:02,False,23.74,61.57
2025-11-30 16:00:05,False,24.68,57.99
2025-11-30 16:00:08,False,25.75,61.06
2025-11-30 16:00:11,False,25.14,55.21
2025-11-30 16:00:14,False,23.23,63.39
2025-11-30 16:00:17,True,24.48,63.63
2025-11-30 16:00:20,True,23.08,57.14
2025-11-30 16:00:23,True,24.12,60.16
2025-11-30 16:00:26,False,23.43,62.57
2025-11-30 16:00:29,True,24.82,55.67
2025-11-30 16:00:32,True,25.01,63.52
2025-11-30 16:00:35,True,26.43,55.31
2025-11-30 16:00:38,False,24.93,61.86
2025-11-30 16:00:41,False,25.0,61.03
2025-11-30 16:00:44,False,26.44,59.42
2025-11-30 16:00:47,False,26.83,64.01
2025-11-30 16:00:50,False,24.7,58.67
2025-11-30 16:00:53,False,24.97,59.26
2025-11-30 16:00:56,False,23.52,55.69
2025-11-30 16:00:59,True,26.14,55.33
2025-11-30 16:01:02,True,23.49,63.84
2025-11-30 16:01:05,True,26.81,55.42
2025-11-30 16:01:08,False,23.25,64.42
2025-11-30 16:01:11,True,24.83,58.78
2025-11-30 16:01:14,True,25.35,64.29
2025-11-30 16:01:17,True,24.47,55.66
2025-11-30 16:01:20,False,24.83,61.88
2025-11-30 16:01:23,True,25.55,63.82
2025-11-30 16:01:26,False,24.55,58.94
2025-11-30 16:01:29,False,25.4,61.29
2025-11-30 16:01:32,False,26.99,55.37
2025-11-30 16:01:35,True,26.75,57.2
2025-11-30 16:01:38,False,24.39,63.49
2025-11-30 16:01:41,False,24.21,58.54
2025-11-30 16:01:44,True,25.75,55.4
2025-11-30 16:01:47,True,25.19,61.33
2025-11-30 16:01:50,False,24.78,64.24
2025-11-30 16:01:53,True,26.57,64.18
2025-11-30 16:01:56,False,23.72,58.25
2025-11-30 16:01:59,False,25.81,64.44
2025-11-30 16:02:02,False,24.99,57.95
2025-11-30 16:02:05,False,25.61,61.16
2025-11-30 16:02:08,False,25.37,62.64
2025-11-30 16:02:11,False,24.83,58.38
2025-11-30 16:02:14,False,25.34,62.46
2025-11-30 16:02:17,True,25.89,61.43
2025-11-30 16:02:20,True,23.77,55.65
2025-11-30 16:02:23,False,25.52,61.67
2025-11-30 16:02:26,True,23.7,61.64
2025-11-30 16:02:29,False,25.97,61.94
2025-11-30 16:02:32,True,25.22,58.01
2025-11-30 16:02:35,True,26.74,56.7
2025-11-30 16:02:38,False,23.23,59.6
2025-11-30 16:02:41,True,26.47,62.35
2025-11-30 16:02:44,False,23.7,56.22
2025-11-30 16:02:47,True,26.28,57.43
2025-11-30 16:02:50,False,23.33,62.6
2025-11-30 16:02:53,False,24.62,60.71
2025-11-30 16:02:56,False,23.32,55.19
2025-11-30 16:02:59,True,26.63,58.85
2025-11-30 16:03:02,True,25.54,62.53
2025-11-30 16:03:05,True,26.28,58.51
2025-11-30 16:03:08,False,24.52,62.84
2025-11-30 16:03:11,True,25.74,58.1
2025-11-30 16:03:14,False,26.07,60.73
2025-11-30 16:03:17,True,25.22,56.05
2025-11-30 16:03:20,False,25.53,58.68
2025-11-30 16:03:23,True,24.71,60.92
2025-11-30 16:03:26,True,26.14,57.91
2025-11-30 16:03:29,False,24.23,62.09
2025-11-30 16:03:32,True,25.74,58.95
2025-11-30 16:03:35,True,26.16,56.0
2025-11-30 16:03:38,False,24.11,61.07
2025-11-30 16:03:41,True,25.31,61.51
2025-11-30 16:03:44,False,23.31,57.4
2025-11-30 16:03:47,False,25.37,55.94
2025-11-30 16:03:50,False,25.91,60.2
2025-11-30 16:03:53,False,23.56,63.26
2025-11-30 16:03:56,False,23.54,58.17
2025-11-30 16:03:59,True,26.51,58.13
2025-11-30 16:04:02,False,23.06,63.6
2025-11-30 16:04:05,False,25.36,64.43
2025-11-30 16:04:08,True,25.08,62.38
2025-11-30 16:04:11,False,23.59,63.51
2025-11-30 16:04:14,True,26.69,60.33
2025-11-30 16:04:17,True,25.09,57.2
2025-11-30 16:04:20,False,26.07,59.28
2025-11-30 16:04:23,True,23.83,63.14
2025-11-30 16:04:26,False,26.91,57.66
2025-11-30 16:04:29,False,23.86,64.1
2025-11-30 16:04:32,False,23.18,62.41
2025-11-30 16:04:35,False,25.47,56.3
2025-11-30 16:04:38,False,24.6,56.05
2025-11-30 16:04:41,True,23.28,62.86
2025-11-30 16:04:44,False,24.96,57.16
2025-11-30 16:04:47,True,23.09,60.08
2025-11-30 16:04:50,True,24.32,63.5
2025-11-30 16:04:53,True,24.27,59.46
2025-11-30 16:04:56,True,26.15,61.61
2025-11-30 16:04:59,True,26.78,57.48
2025-11-30 16:05:02,False,23.61,55.26
2025-11-30 16:05:05,False,24.44,59.45
2025-11-30 16:05:08,False,26.52,59.29
2025-11-30 16:05:11,False,24.98,57.17
2025-11-30 16:05:14,True,24.08,55.28
2025-11-30 16:05:17,False,25.13,59.0
2025-11-30 16:05:20,False,25.63,61.22
2025-11-30 16:05:23,False,26.64,58.63
2025-11-30 16:05:26,True,24.4,64.71
2025-11-30 16:05:29,True,25.76,59.98
2025-11-30 16:05:32,True,24.81,61.51
2025-11-30 16:05:35,False,24.95,61.81
2025-11-30 16:05:38,False,24.79,61.02
2025-11-30 16:05:41,False,26.03,59.28
2025-11-30 16:05:44,True,25.03,56.49
2025-11-30 16:05:47,False,23.84,62.58
2025-11-30 16:05:50,True,26.0,55.14
2025-11-30 16:05:53,False,25.99,58.38
2025-11-30 16:05:56,False,25.16,61.0
2025-11-30 16:05:59,True,25.4,64.62
2025-11-30 16:06:02,False,23.86,61.89
2025-11-30 16:06:05,True,25.5,63.62
2025-11-30 16:06:08,False,26.02,62.97
2025-11-30 16:06:11,False,25.92,56.36
2025-11-30 16:06:14,True,25.77,57.58
2025-11-30 16:06:17,True,24.83,58.23
2025-11-30 16:06:20,True,26.45,63.9
2025-11-30 16:06:23,True,24.95,59.65
2025-11-30 16:06:26,True,24.85,55.85
2025-11-30 16:06:29,False,23.86,60.49
2025-11-30 16:06:33,False,24.38,62.74
2025-11-30 16:06:36,True,23.58,61.86
2025-11-30 16:06:39,True,26.3,59.22
2025-11-30 16:06:42,True,23.99,58.26
2025-11-30 16:06:45,True,23.92,61.55
2025-11-30 16:06:48,False,25.44,61.3
2025-11-30 16:06:51,False,25.76,60.97
2025-11-30 16:06:54,True,23.03,56.72
